Node,Type,Degree,Degree Centrality,Eigenvector Centrality
NYKyY7,follower,1,0.001145475372279496,0.001433182803271699
dxXJby,follower,1,0.001145475372279496,0.001433182803271699
Zm3XV7,follower,1,0.001145475372279496,0.001433182803271699
ebP7K,follower,2,0.002290950744558992,0.006609589888961225
a7BPr,follower,1,0.001145475372279496,0.0014414656944816884
ngv3W,follower,1,0.001145475372279496,0.0014414656944816884
5QVj7,follower,3,0.003436426116838488,0.003756030876189248
nQ2dG,follower,3,0.003436426116838488,0.003756030876189248
J5NXz,follower,3,0.003436426116838488,0.004247472424817978
DNKaw,follower,1,0.001145475372279496,0.0029291288428154416
gmxyxjZ,follower,1,0.001145475372279496,0.0001994352189684206
Y9pWGop,follower,1,0.001145475372279496,0.0001994352189684206
LjNWo,follower,1,0.001145475372279496,0.0004749375330895459
nQvB9,follower,1,0.001145475372279496,0.0004749375330895459
v7pdK,follower,1,0.001145475372279496,0.0004749375330895459
eP9d1,follower,1,0.001145475372279496,0.0004749375330895459
6E1Mm,follower,1,0.001145475372279496,0.0004749375330895459
X6VVJ,follower,1,0.001145475372279496,0.0004749375330895459
OJBqv,follower,1,0.001145475372279496,0.0004749375330895459
797K8RW,follower,1,0.001145475372279496,0.0004749375330895459
rGd4Z,follower,1,0.001145475372279496,0.0004749375330895459
gYadR59,follower,2,0.002290950744558992,0.0011416312007935683
oGv4gJa,follower,1,0.001145475372279496,0.0004749375330895459
E7YNRNM,follower,1,0.001145475372279496,0.0004749375330895459
0Xlv4,follower,1,0.001145475372279496,0.0004749375330895459
vZg6r0O,follower,1,0.001145475372279496,0.0004749375330895459
PV4Q3m,follower,1,0.001145475372279496,0.0004749375330895459
rPj4BN,follower,1,0.001145475372279496,0.0004749375330895459
9VGQoA,follower,1,0.001145475372279496,0.0004749375330895459
Og9Kolg,follower,1,0.001145475372279496,0.0004749375330895459
Og4GREX,follower,1,0.001145475372279496,0.0004749375330895459
VvR7rG6,follower,1,0.001145475372279496,0.0004749375330895459
laoAq6G,follower,1,0.001145475372279496,0.0004749375330895459
oYO1jZ7,follower,2,0.002290950744558992,0.000612889693996927
JGpPd4p,follower,1,0.001145475372279496,0.0004749375330895459
noxKR,follower,1,0.001145475372279496,0.0018415311419571693
LWkEo,follower,1,0.001145475372279496,0.0018415311419571693
emgvA,follower,1,0.001145475372279496,0.0018415311419571693
P581k,follower,1,0.001145475372279496,0.0018415311419571693
ZZpr4,follower,1,0.001145475372279496,0.0018415311419571693
ePlMm,follower,1,0.001145475372279496,0.0018415311419571693
KEWBw,follower,2,0.002290950744558992,0.0032624320650107893
eYgWr,follower,1,0.001145475372279496,0.0018415311419571693
nk0kP,follower,1,0.001145475372279496,0.0018415311419571693
G09xa,follower,1,0.001145475372279496,0.0018415311419571693
DBrdJ,follower,1,0.001145475372279496,0.0018415311419571693
eG08v,follower,1,0.001145475372279496,0.0018415311419571693
eYNqv,follower,1,0.001145475372279496,0.0018415311419571693
L5Jx1,follower,1,0.001145475372279496,0.0018415311419571693
emoEQ,follower,1,0.001145475372279496,0.0018415311419571693
eGakv,follower,5,0.00572737686139748,0.006823432776099472
4jPPj,follower,1,0.001145475372279496,0.0018415311419571693
ebRPX,follower,1,0.001145475372279496,0.0018415311419571693
E2Wbr,follower,1,0.001145475372279496,0.0018415311419571693
D7Okj,follower,1,0.001145475372279496,0.0018415311419571693
kKQEw,follower,1,0.001145475372279496,0.0018415311419571693
